sentence_id	token_id	token	bio_ner_tag
0	0	EU	B-ORG
0	1	rejects	O
0	2	German	B-NORP
0	3	call	O
0	4	to	O
0	5	boycott	O
0	6	British	B-NORP
0	7	lamb	O
0	8	.	O
1	0	Peter	B-PERSON
1	1	Blackburn	I-PERSON
2	0	BRUSSELS	B-LOC
2	1	1996	B-DATE
2	2	-	I-DATE
2	3	08	I-DATE
2	4	-	I-DATE
2	5	22	I-DATE
3	0	The	B-ORG
3	1	European	I-ORG
3	2	Commission	I-ORG
3	3	said	O
3	4	on	O
3	5	Thursday	B-DATE
3	6	it	O
3	7	disagreed	O
3	8	with	O
3	9	German	B-NORP
3	10	advice	O
3	11	to	O
3	12	consumers	O
3	13	to	O
3	14	shun	O
3	15	British	B-NORP
3	16	lamb	O
3	17	until	O
3	18	scientists	O
3	19	determine	O
3	20	whether	O
3	21	mad	O
3	22	cow	O
3	23	disease	O
3	24	can	O
3	25	be	O
3	26	transmitted	O
3	27	to	O
3	28	sheep	O
3	29	.	O
4	0	Germany	B-GPE
4	1	's	O
4	2	representative	O
4	3	to	O
4	4	the	B-ORG
4	5	European	I-ORG
4	6	Union	I-ORG
4	7	's	I-ORG
4	8	veterinary	O
4	9	committee	O
4	10	Werner	B-PERSON
4	11	Zwingmann	I-PERSON
4	12	said	O
4	13	on	O
4	14	Wednesday	B-DATE
4	15	consumers	O
4	16	should	O
4	17	buy	O
4	18	sheepmeat	O
4	19	from	O
4	20	countries	O
4	21	other	O
4	22	than	O
4	23	Britain	B-GPE
4	24	until	O
4	25	the	O
4	26	scientific	O
4	27	advice	O
4	28	was	O
4	29	clearer	O
4	30	.	O
5	0	""""	O
5	1	We	O
5	2	do	O
5	3	n't	O
5	4	support	O
5	5	any	O
5	6	such	O
5	7	recommendation	O
5	8	because	O
5	9	we	O
5	10	do	O
5	11	n't	O
5	12	see	O
5	13	any	O
5	14	grounds	O
5	15	for	O
5	16	it	O
5	17	,	O
5	18	""""	O
5	19	the	O
5	20	Commission	B-ORG
5	21	's	O
5	22	chief	O
5	23	spokesman	O
5	24	Nikolaus	B-PERSON
5	25	van	I-PERSON
5	26	der	I-PERSON
5	27	Pas	I-PERSON
5	28	told	O
5	29	a	O
5	30	news	O
5	31	briefing	O
5	32	.	O
6	0	He	O
6	1	said	O
6	2	further	O
6	3	scientific	O
6	4	study	O
6	5	was	O
6	6	required	O
6	7	and	O
6	8	if	O
6	9	it	O
6	10	was	O
6	11	found	O
6	12	that	O
6	13	action	O
6	14	was	O
6	15	needed	O
6	16	it	O
6	17	should	O
6	18	be	O
6	19	taken	O
6	20	by	O
6	21	the	B-ORG
6	22	European	I-ORG
6	23	Union	I-ORG
6	24	.	O
7	0	He	O
7	1	said	O
7	2	a	O
7	3	proposal	O
7	4	last	B-DATE
7	5	month	I-DATE
7	6	by	O
7	7	EU	B-ORG
7	8	Farm	I-ORG
7	9	Commissioner	O
7	10	Franz	B-PERSON
7	11	Fischler	I-PERSON
7	12	to	O
7	13	ban	O
7	14	sheep	O
7	15	brains	O
7	16	,	O
7	17	spleens	O
7	18	and	O
7	19	spinal	O
7	20	cords	O
7	21	from	O
7	22	the	O
7	23	human	O
7	24	and	O
7	25	animal	O
7	26	food	O
7	27	chains	O
7	28	was	O
7	29	a	O
7	30	highly	O
7	31	specific	O
7	32	and	O
7	33	precautionary	O
7	34	move	O
7	35	to	O
7	36	protect	O
7	37	human	O
7	38	health	O
7	39	.	O
8	0	Fischler	B-PERSON
8	1	proposed	O
8	2	EU	B-ORG
8	3	-	O
8	4	wide	O
8	5	measures	O
8	6	after	O
8	7	reports	O
8	8	from	O
8	9	Britain	B-GPE
8	10	and	O
8	11	France	B-GPE
8	12	that	O
8	13	under	O
8	14	laboratory	O
8	15	conditions	O
8	16	sheep	O
8	17	could	O
8	18	contract	O
8	19	Bovine	B-PERSON
8	20	Spongiform	I-PERSON
8	21	Encephalopathy	I-PERSON
8	22	(	O
8	23	BSE	B-ORG
8	24	)	O
8	25	--	O
8	26	mad	O
8	27	cow	O
8	28	disease	O
8	29	.	O
9	0	But	O
9	1	Fischler	B-PERSON
9	2	agreed	O
9	3	to	O
9	4	review	O
9	5	his	O
9	6	proposal	O
9	7	after	O
9	8	the	O
9	9	EU	B-ORG
9	10	's	O
9	11	standing	O
9	12	veterinary	O
9	13	committee	O
9	14	,	O
9	15	mational	O
9	16	animal	O
9	17	health	O
9	18	officials	O
9	19	,	O
9	20	questioned	O
9	21	if	O
9	22	such	O
9	23	action	O
9	24	was	O
9	25	justified	O
9	26	as	O
9	27	there	O
9	28	was	O
9	29	only	O
9	30	a	O
9	31	slight	O
9	32	risk	O
9	33	to	O
9	34	human	O
9	35	health	O
9	36	.	O
10	0	Spanish	B-NORP
10	1	Farm	O
10	2	Minister	O
10	3	Loyola	B-PERSON
10	4	de	I-PERSON
10	5	Palacio	I-PERSON
10	6	had	O
10	7	earlier	O
10	8	accused	O
10	9	Fischler	B-PERSON
10	10	at	O
10	11	an	O
10	12	EU	B-ORG
10	13	farm	O
10	14	ministers	O
10	15	'	O
10	16	meeting	O
10	17	of	O
10	18	causing	O
10	19	unjustified	O
10	20	alarm	O
10	21	through	O
10	22	""""	O
10	23	dangerous	O
10	24	generalisation	O
10	25	.	O
10	26	""""	O
11	0	.	O
12	0	Only	O
12	1	France	B-GPE
12	2	and	O
12	3	Britain	B-GPE
12	4	backed	O
12	5	Fischler	B-PERSON
12	6	's	O
12	7	proposal	O
12	8	.	O
13	0	The	O
13	1	EU	B-ORG
13	2	's	O
13	3	scientific	O
13	4	veterinary	O
13	5	and	O
13	6	multidisciplinary	O
13	7	committees	O
13	8	are	O
13	9	due	O
13	10	to	O
13	11	re	O
13	12	-	O
13	13	examine	O
13	14	the	O
13	15	issue	O
13	16	early	B-DATE
13	17	next	I-DATE
13	18	month	I-DATE
13	19	and	O
13	20	make	O
13	21	recommendations	O
13	22	to	O
13	23	the	O
13	24	senior	O
13	25	veterinary	O
13	26	officials	O
13	27	.	O
14	0	Sheep	O
14	1	have	O
14	2	long	O
14	3	been	O
14	4	known	O
14	5	to	O
14	6	contract	O
14	7	scrapie	O
14	8	,	O
14	9	a	O
14	10	brain	O
